,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau
4250,F,Y,Y,0,Working,Higher education,Married,Co-op apartment,46.57260273972603,6.67945205479452,1,0,0,0,2.0,False
4251,F,Y,Y,2,Working,Secondary / secondary special,Married,House / apartment,35.78356164383562,4.260273972602739,1,0,0,0,4.0,False
4255,F,Y,Y,0,Working,Secondary / secondary special,Married,With parents,41.45479452054794,17.687671232876713,1,0,0,0,2.0,False
4258,F,Y,Y,1,State servant,Secondary / secondary special,Married,With parents,37.293150684931504,16.687671232876713,1,1,1,0,3.0,False
4259,M,Y,Y,0,Commercial associate,Higher education,Single / not married,With parents,29.3972602739726,3.26027397260274,1,0,0,0,1.0,False
4260,F,Y,N,0,Working,Higher education,Married,House / apartment,36.016438356164386,5.926027397260274,1,0,0,0,2.0,True
4261,F,Y,N,0,Working,Higher education,Married,House / apartment,36.016438356164386,5.926027397260274,1,0,0,0,2.0,False
4262,F,Y,Y,0,State servant,Higher education,Single / not married,House / apartment,60.55068493150685,41.2,1,0,1,0,1.0,False
4274,M,Y,Y,0,Commercial associate,Higher education,Married,House / apartment,55.87671232876713,7.347945205479452,1,0,0,0,2.0,False
4276,F,Y,N,0,Commercial associate,Secondary / secondary special,Separated,House / apartment,42.057534246575344,18.6027397260274,1,0,0,0,1.0,False
4284,F,N,N,2,State servant,Incomplete higher,Married,With parents,31.88219178082192,6.260273972602739,1,1,1,0,4.0,False
4287,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,39.50410958904109,6.594520547945206,1,1,1,0,2.0,False
4290,M,Y,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,35.12602739726027,0.4246575342465753,1,0,0,0,2.0,False
4292,M,Y,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,35.12602739726027,0.4246575342465753,1,0,0,0,2.0,True
4293,M,Y,Y,0,Commercial associate,Higher education,Separated,House / apartment,44.298630136986304,2.3424657534246576,1,1,1,0,1.0,False
4294,F,Y,Y,0,Working,Higher education,Married,House / apartment,36.915068493150685,7.928767123287671,1,1,1,0,2.0,False
4301,F,N,Y,0,Commercial associate,Secondary / secondary special,Widow,House / apartment,54.298630136986304,4.008219178082192,1,0,1,0,1.0,False
4302,F,N,Y,1,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,52.86301369863013,-1000.6657534246576,1,0,0,0,3.0,False
4303,F,N,Y,1,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,52.86301369863013,-1000.6657534246576,1,0,0,0,3.0,True
4304,F,N,N,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,29.4,2.4246575342465757,1,0,0,0,1.0,False
4305,M,Y,Y,0,State servant,Secondary / secondary special,Married,House / apartment,26.21917808219178,7.178082191780822,1,0,0,0,2.0,False
4308,F,Y,Y,0,Working,Higher education,Married,House / apartment,32.76986301369863,6.093150684931507,1,1,0,0,2.0,False
4310,F,Y,Y,0,Commercial associate,Higher education,Married,House / apartment,35.487671232876714,0.8383561643835616,1,1,1,0,2.0,False
4318,F,N,Y,1,Working,Secondary / secondary special,Married,House / apartment,52.16438356164384,3.841095890410959,1,1,1,0,3.0,True
4319,F,N,Y,0,Working,Higher education,Married,House / apartment,31.534246575342465,8.095890410958905,1,0,1,0,2.0,False
4320,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,33.58082191780822,4.008219178082192,1,0,0,0,2.0,False
4328,F,Y,Y,1,Working,Higher education,Married,House / apartment,42.45479452054794,7.095890410958904,1,0,0,0,3.0,False
4330,M,N,Y,0,Commercial associate,Higher education,Single / not married,Rented apartment,27.36986301369863,3.345205479452055,1,0,1,0,1.0,False
4335,M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,42.49315068493151,8.263013698630138,1,0,0,0,2.0,False
4342,F,N,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,45.5013698630137,15.26849315068493,1,0,1,0,2.0,False
4345,F,Y,Y,1,Commercial associate,Secondary / secondary special,Married,House / apartment,38.865753424657534,4.756164383561644,1,0,1,0,3.0,False
4350,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,54.97260273972603,0.8383561643835616,1,0,1,0,2.0,False
4351,F,Y,Y,1,Commercial associate,Higher education,Married,House / apartment,31.575342465753423,4.427397260273972,1,0,0,0,3.0,False
4360,F,N,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.93972602739726,-1000.6657534246576,1,0,1,0,2.0,False
4361,F,N,Y,1,Working,Incomplete higher,Married,House / apartment,38.62739726027397,4.427397260273972,1,0,0,0,3.0,False
4362,F,Y,N,0,State servant,Higher education,Single / not married,House / apartment,33.463013698630135,10.43013698630137,1,0,0,0,1.0,False
4366,M,Y,Y,3,Working,Secondary / secondary special,Married,House / apartment,38.88219178082192,2.2575342465753425,1,1,1,0,5.0,False
4368,F,N,Y,0,Commercial associate,Higher education,Married,House / apartment,36.73698630136986,2.0054794520547947,1,0,0,0,2.0,False
4369,F,N,Y,0,State servant,Higher education,Married,House / apartment,30.56986301369863,1.7534246575342465,1,0,1,0,2.0,False
4370,F,Y,Y,0,Working,Higher education,Married,House / apartment,47.608219178082194,15.101369863013698,1,0,0,0,2.0,False
4372,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,36.08219178082192,2.0904109589041098,1,1,0,0,2.0,False
4373,M,N,Y,1,Working,Secondary / secondary special,Married,House / apartment,34.47945205479452,1.0054794520547945,1,0,0,0,3.0,False
4378,F,N,Y,0,State servant,Higher education,Married,House / apartment,41.49315068493151,10.01095890410959,1,0,1,0,2.0,False
4385,F,Y,N,0,State servant,Higher education,Married,House / apartment,49.15068493150685,27.27945205479452,1,1,0,0,2.0,False
4386,F,Y,N,3,Working,Higher education,Married,House / apartment,37.05479452054794,12.26849315068493,1,1,1,0,5.0,False
4387,F,N,N,0,State servant,Secondary / secondary special,Married,House / apartment,34.673972602739724,1.008219178082192,1,0,0,0,2.0,False
4388,M,N,N,0,Working,Incomplete higher,Married,House / apartment,27.145205479452056,0.7561643835616438,1,1,0,0,2.0,False
4392,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,44.85479452054795,10.684931506849315,1,0,1,0,2.0,False
4397,F,N,N,1,Commercial associate,Higher education,Separated,House / apartment,40.131506849315066,7.761643835616439,1,1,0,0,2.0,False
4401,F,Y,N,0,Working,Secondary / secondary special,Married,Municipal apartment,47.59452054794521,2.6794520547945204,1,0,1,0,2.0,False
4407,F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.13972602739726,-1000.6657534246576,1,0,0,0,2.0,False
4410,F,Y,N,0,Commercial associate,Incomplete higher,Married,House / apartment,47.92602739726028,6.4301369863013695,1,1,0,0,2.0,False
4417,M,Y,N,0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,60.24657534246575,-1000.6657534246576,1,0,1,0,2.0,False
4424,F,N,N,0,Commercial associate,Higher education,Widow,House / apartment,54.608219178082194,18.10410958904109,1,1,1,0,1.0,False
4425,F,N,N,0,Pensioner,Secondary / secondary special,Widow,Municipal apartment,60.45479452054794,-1000.6657534246576,1,0,0,0,1.0,False
4426,F,Y,N,3,Working,Higher education,Married,House / apartment,30.47945205479452,1.093150684931507,1,0,0,0,5.0,False
4427,F,N,N,0,Working,Higher education,Married,House / apartment,32.52328767123288,8.180821917808219,1,0,0,0,2.0,False
4428,F,N,N,1,Working,Secondary / secondary special,Separated,House / apartment,27.495890410958904,7.013698630136986,1,1,1,0,2.0,False
4429,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,43.394520547945206,4.178082191780822,1,1,1,0,2.0,False
4436,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,52.14246575342466,1.1753424657534246,1,0,1,0,2.0,False
4437,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,50.93150684931507,9.265753424657534,1,0,1,0,2.0,False
4441,M,N,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.36986301369863,-1000.6657534246576,1,0,1,0,2.0,False
4444,M,Y,N,0,Working,Secondary / secondary special,Married,Rented apartment,33.9013698630137,0.8410958904109589,1,1,1,0,2.0,False
4447,M,N,N,0,Working,Secondary / secondary special,Married,House / apartment,28.252054794520543,1.926027397260274,1,0,1,0,2.0,False
4450,F,N,N,0,Working,Higher education,Married,House / apartment,29.386301369863013,5.263013698630137,1,1,1,0,2.0,False
4454,M,N,N,1,Working,Secondary / secondary special,Married,House / apartment,31.926027397260277,4.4301369863013695,1,1,0,0,3.0,False
4456,F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,36.99452054794521,4.843835616438356,1,1,1,0,2.0,False
4457,F,N,N,0,Working,Secondary / secondary special,Civil marriage,With parents,30.16164383561644,3.9287671232876713,1,1,1,0,2.0,False
4458,F,N,N,0,Commercial associate,Higher education,Married,With parents,40.0986301369863,12.849315068493151,1,1,1,0,2.0,False
4466,F,N,N,0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,44.67397260273973,13.435616438356163,1,1,1,0,2.0,False
4469,F,N,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.47397260273973,-1000.6657534246576,1,0,0,0,2.0,False
4470,F,N,N,0,Working,Incomplete higher,Married,House / apartment,33.97808219178082,2.512328767123288,1,1,0,0,2.0,False
4473,M,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,28.42739726027397,0.3452054794520548,1,0,1,0,2.0,False
4475,F,N,N,0,Commercial associate,Incomplete higher,Single / not married,House / apartment,58.57808219178082,0.4273972602739726,1,0,0,0,1.0,False
4477,M,N,N,0,Working,Secondary / secondary special,Married,House / apartment,31.495890410958904,4.758904109589041,1,1,0,0,2.0,False
4478,F,N,N,0,Commercial associate,Secondary / secondary special,Married,House / apartment,35.83287671232877,6.846575342465753,1,1,0,0,2.0,False
4479,F,N,N,0,Pensioner,Higher education,Single / not married,House / apartment,63.81095890410959,-1000.6657534246576,1,0,1,0,1.0,False
4484,M,Y,N,0,State servant,Secondary / secondary special,Separated,House / apartment,52.19178082191781,1.2602739726027397,1,1,0,0,1.0,False
4485,F,N,N,0,Working,Secondary / secondary special,Widow,House / apartment,45.23013698630137,5.515068493150685,1,1,1,0,1.0,False
4487,F,Y,N,2,State servant,Higher education,Married,House / apartment,43.98082191780822,20.18904109589041,1,1,1,0,4.0,False
4490,F,Y,N,2,State servant,Higher education,Married,House / apartment,43.98082191780822,20.18904109589041,1,1,1,0,4.0,True
4498,F,Y,N,0,Commercial associate,Higher education,Married,House / apartment,53.41095890410959,4.597260273972603,1,0,1,0,2.0,False
4503,F,N,N,1,Working,Secondary / secondary special,Separated,House / apartment,39.31232876712329,11.183561643835615,1,0,1,0,2.0,False
4506,F,N,N,0,Working,Secondary / secondary special,Married,Municipal apartment,45.59178082191781,27.36438356164384,1,1,1,0,2.0,False
4514,F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,48.72328767123288,-1000.6657534246576,1,0,1,0,2.0,False
4517,F,N,N,0,Working,Higher education,Married,House / apartment,38.72876712328768,20.273972602739725,1,1,1,0,2.0,False
4521,F,Y,N,2,State servant,Higher education,Married,House / apartment,28.473972602739725,6.178082191780822,1,1,0,0,4.0,False
4522,M,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.74794520547945,4.4301369863013695,1,1,1,0,2.0,False
4524,F,N,N,0,Pensioner,Higher education,Married,House / apartment,52.15890410958904,-1000.6657534246576,1,0,1,0,2.0,False
4526,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.06301369863014,3.43013698630137,1,1,0,0,2.0,False
4532,F,N,N,0,Commercial associate,Higher education,Married,House / apartment,28.92876712328767,1.1753424657534246,1,1,1,0,2.0,False
4537,M,Y,N,0,Commercial associate,Secondary / secondary special,Single / not married,With parents,32.09315068493151,3.9287671232876713,1,0,0,0,1.0,False
4539,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,46.36986301369863,4.515068493150685,1,1,0,0,2.0,False
4540,F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,35.2027397260274,17.186301369863013,1,1,0,0,1.0,False
4542,M,N,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,4.178082191780822,1,1,1,0,2.0,False
4549,F,N,Y,0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,44.2,1.5945205479452054,1,0,0,0,2.0,False
4550,M,Y,Y,1,Commercial associate,Secondary / secondary special,Married,House / apartment,46.97808219178082,5.4301369863013695,1,0,0,0,3.0,False
4552,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,65.88219178082191,-1000.6657534246576,1,0,0,0,2.0,False
4554,M,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,66.75342465753425,-1000.6657534246576,1,0,0,0,2.0,False
4555,F,N,N,1,Working,Secondary / secondary special,Civil marriage,House / apartment,31.863013698630137,5.178082191780822,1,0,0,0,3.0,False
4556,F,N,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,30.084931506849315,1.5123287671232877,1,0,0,0,2.0,False
4557,M,Y,Y,1,Working,Secondary / secondary special,Married,House / apartment,41.66301369863014,5.758904109589041,1,1,1,0,3.0,False
4565,F,Y,Y,0,State servant,Secondary / secondary special,Married,House / apartment,49.61643835616438,5.682191780821918,1,0,0,0,2.0,False
4567,F,N,Y,2,State servant,Higher education,Married,House / apartment,39.43835616438356,14.52054794520548,1,0,0,0,4.0,False
4569,F,N,Y,0,Commercial associate,Secondary / secondary special,Widow,House / apartment,53.36438356164384,5.178082191780822,1,0,0,0,1.0,False
4570,F,N,Y,1,Working,Higher education,Married,House / apartment,28.82191780821918,6.515068493150685,1,0,0,0,3.0,False
4577,F,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.945205479452056,7.6,1,0,0,0,2.0,False
4578,M,Y,Y,2,Working,Higher education,Married,House / apartment,30.4986301369863,2.512328767123288,1,0,1,0,4.0,False
4582,F,Y,Y,0,Working,Secondary / secondary special,Widow,House / apartment,45.59178082191781,3.854794520547945,1,0,0,0,1.0,False
4589,M,Y,N,2,Working,Secondary / secondary special,Married,With parents,27.794520547945204,0.6821917808219178,1,1,0,0,4.0,False
4590,M,Y,Y,1,State servant,Secondary / secondary special,Married,House / apartment,47.224657534246575,4.684931506849315,1,0,0,0,3.0,False
4592,F,N,Y,1,Working,Secondary / secondary special,Separated,House / apartment,52.536986301369865,8.106849315068493,1,0,0,0,2.0,False
4594,F,N,Y,0,State servant,Secondary / secondary special,Single / not married,House / apartment,36.88493150684931,2.1013698630136988,1,0,0,0,1.0,False
4597,F,N,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.57808219178082,19.45205479452055,1,0,1,0,2.0,False
4600,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,66.7068493150685,-1000.6657534246576,1,0,1,0,2.0,False
4603,F,N,N,0,Working,Incomplete higher,Civil marriage,House / apartment,43.13424657534247,6.441095890410959,1,1,1,0,2.0,False
4606,M,Y,Y,2,Working,Secondary / secondary special,Married,House / apartment,33.06849315068493,0.6821917808219178,1,1,0,0,4.0,False
4609,F,Y,N,1,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,28.583561643835612,8.106849315068493,1,0,0,0,3.0,False
4610,M,N,Y,0,Pensioner,Secondary / secondary special,Separated,House / apartment,61.23561643835617,-1000.6657534246576,1,0,1,0,1.0,False
4611,F,Y,Y,0,Working,Higher education,Married,House / apartment,58.156164383561645,2.271232876712329,1,0,0,0,2.0,False
4612,F,N,Y,0,Working,Secondary / secondary special,Widow,House / apartment,57.33972602739726,4.523287671232877,1,0,0,0,1.0,False
4616,F,Y,N,1,Commercial associate,Higher education,Single / not married,House / apartment,27.753424657534246,4.523287671232877,1,0,0,0,2.0,False
4626,F,Y,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.52054794520548,-1000.6657534246576,1,0,1,0,2.0,False
4629,F,N,Y,1,Working,Secondary / secondary special,Civil marriage,House / apartment,40.04383561643836,12.446575342465753,1,1,1,1,3.0,False
4631,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.1013698630137,-1000.6657534246576,1,0,0,0,2.0,False
4638,F,Y,Y,0,State servant,Higher education,Married,House / apartment,62.70958904109589,0.6054794520547945,1,0,1,0,2.0,False
4644,M,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,45.536986301369865,0.6054794520547945,1,0,0,0,2.0,False
4647,F,N,Y,1,Working,Incomplete higher,Single / not married,House / apartment,37.28493150684932,4.441095890410959,1,0,0,0,2.0,False
4653,M,Y,Y,1,Working,Higher education,Married,Municipal apartment,42.75616438356165,0.4383561643835616,1,0,1,0,3.0,False
4658,M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,36.81095890410959,4.441095890410959,1,1,0,0,2.0,False
4659,F,N,Y,0,Working,Higher education,Single / not married,House / apartment,24.931506849315067,3.104109589041096,1,0,0,0,1.0,False
4666,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,52.131506849315066,-1000.6657534246576,1,0,0,0,2.0,False
4674,F,N,Y,0,Pensioner,Higher education,Married,House / apartment,55.86027397260274,-1000.6657534246576,1,0,1,0,2.0,False
4675,F,Y,N,0,State servant,Secondary / secondary special,Civil marriage,House / apartment,45.73150684931507,19.534246575342465,1,0,0,0,2.0,False
4679,F,N,Y,0,Working,Incomplete higher,Single / not married,House / apartment,38.43835616438356,5.684931506849315,1,0,0,0,1.0,False
4684,F,N,Y,0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,54.88219178082192,-1000.6657534246576,1,0,0,0,2.0,False
4686,F,N,Y,0,State servant,Secondary / secondary special,Married,House / apartment,49.72602739726028,7.526027397260274,1,0,0,0,2.0,False
4689,M,N,Y,2,State servant,Higher education,Married,House / apartment,43.90958904109589,15.449315068493153,1,0,1,0,4.0,False
4694,F,Y,Y,0,Pensioner,Higher education,Married,House / apartment,59.9013698630137,-1000.6657534246576,1,0,0,0,2.0,False
4696,F,N,Y,0,State servant,Secondary / secondary special,Married,House / apartment,47.26849315068493,11.69041095890411,1,0,0,0,2.0,False
4701,F,N,Y,0,Pensioner,Higher education,Married,House / apartment,55.73972602739726,-1000.6657534246576,1,0,1,0,2.0,False
4702,F,N,Y,0,Commercial associate,Secondary / secondary special,Widow,House / apartment,59.701369863013696,13.942465753424658,1,0,0,0,1.0,False
4703,F,Y,Y,2,Working,Secondary / secondary special,Married,House / apartment,32.0,10.610958904109587,1,1,1,0,4.0,False
4705,F,Y,Y,1,State servant,Secondary / secondary special,Married,House / apartment,44.14794520547945,1.9342465753424656,1,0,0,0,3.0,False
4706,M,Y,Y,2,Working,Higher education,Married,House / apartment,32.43287671232877,2.186301369863014,1,0,0,0,4.0,False
4711,F,N,N,0,Working,Higher education,Single / not married,House / apartment,32.85205479452055,1.9342465753424656,1,0,0,1,1.0,False
4714,M,N,Y,2,State servant,Secondary / secondary special,Married,House / apartment,38.8027397260274,18.86575342465753,1,0,1,0,4.0,False
4718,F,N,Y,0,Commercial associate,Incomplete higher,Married,House / apartment,22.07123287671233,1.1863013698630136,1,0,0,0,2.0,False
4719,F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,28.339726027397266,6.93972602739726,1,0,0,0,2.0,False
4720,F,Y,Y,0,Commercial associate,Higher education,Single / not married,House / apartment,33.8,11.613698630136986,1,0,0,0,1.0,False
4725,F,Y,Y,0,Pensioner,Higher education,Married,House / apartment,64.23835616438356,-1000.6657534246576,1,0,0,0,2.0,False
4727,F,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,57.87945205479452,-1000.6657534246576,1,0,0,0,1.0,False
4746,F,N,N,1,Working,Secondary / secondary special,Civil marriage,House / apartment,33.45205479452055,7.526027397260274,1,0,0,0,3.0,False
4750,F,N,Y,1,Working,Secondary / secondary special,Civil marriage,House / apartment,26.471232876712328,2.936986301369863,1,1,1,0,3.0,False
4751,F,Y,Y,2,Working,Incomplete higher,Married,House / apartment,31.32054794520548,0.3534246575342465,1,0,1,0,4.0,False
4758,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,64.35068493150685,14.10958904109589,1,0,1,0,2.0,False
4759,F,Y,Y,1,Commercial associate,Higher education,Single / not married,House / apartment,38.56438356164384,5.76986301369863,1,0,0,0,2.0,False
4761,F,Y,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,57.55890410958904,-1000.6657534246576,1,0,0,0,2.0,False
4764,F,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.28767123287671,0.6821917808219178,1,0,0,0,2.0,False
4765,F,N,Y,1,Working,Secondary / secondary special,Married,House / apartment,43.57534246575342,24.117808219178084,1,1,0,0,3.0,False
4770,F,N,N,1,Commercial associate,Secondary / secondary special,Married,House / apartment,30.328767123287676,1.7671232876712328,1,1,0,0,3.0,False
4772,M,N,Y,0,Working,Secondary / secondary special,Separated,House / apartment,49.18356164383562,11.194520547945206,1,0,0,0,1.0,False
4774,F,N,N,1,Working,Secondary / secondary special,Separated,House / apartment,33.42465753424658,12.446575342465753,1,0,0,0,2.0,False
4776,F,Y,Y,1,Commercial associate,Secondary / secondary special,Married,House / apartment,37.98630136986301,4.608219178082192,1,0,1,0,3.0,False
4780,F,N,Y,1,Working,Secondary / secondary special,Married,House / apartment,57.13424657534247,10.106849315068493,1,0,0,0,3.0,False
4782,F,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,59.12602739726027,-1000.6657534246576,1,0,0,0,1.0,False
4784,F,N,Y,2,Working,Secondary / secondary special,Married,House / apartment,37.772602739726025,8.443835616438356,1,0,0,0,4.0,False
4786,F,N,Y,0,Commercial associate,Higher education,Single / not married,House / apartment,42.945205479452056,6.021917808219178,1,0,0,0,1.0,False
4788,F,N,N,0,Commercial associate,Higher education,Married,With parents,26.972602739726028,3.356164383561644,1,1,0,0,2.0,False
4789,F,N,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,48.28219178082192,25.36986301369863,1,0,0,0,1.0,False
4790,F,Y,Y,0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,43.397260273972606,4.936986301369863,1,0,0,0,2.0,False
4791,F,Y,Y,0,State servant,Higher education,Married,House / apartment,60.15068493150685,34.12328767123287,1,0,0,0,2.0,False
4795,M,N,Y,1,Working,Higher education,Married,House / apartment,45.83013698630137,19.367123287671237,1,0,1,0,3.0,False
4796,M,Y,Y,0,Commercial associate,Higher education,Married,Rented apartment,26.9013698630137,0.5205479452054794,1,1,1,0,2.0,False
4799,F,N,Y,0,Working,Secondary / secondary special,Widow,House / apartment,48.52054794520548,4.854794520547945,1,0,0,0,1.0,False
4800,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,59.136986301369866,-1000.6657534246576,1,0,1,0,2.0,False
4801,M,N,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,47.88767123287671,6.131506849315069,1,1,0,0,1.0,False
4802,M,N,N,0,Working,Incomplete higher,Single / not married,Municipal apartment,35.40547945205479,0.4657534246575342,1,0,0,0,1.0,False
4803,M,Y,Y,0,Working,Incomplete higher,Married,House / apartment,43.66027397260274,4.131506849315069,1,0,1,0,2.0,False
4812,F,N,Y,1,Working,Secondary / secondary special,Married,House / apartment,31.4,3.2986301369863016,1,1,1,0,3.0,False
4813,F,N,Y,2,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,31.34246575342466,6.635616438356164,1,0,0,0,3.0,False
4815,F,Y,Y,2,Commercial associate,Secondary / secondary special,Married,House / apartment,36.67397260273973,3.8794520547945206,1,0,0,0,4.0,False
4816,F,N,Y,0,Pensioner,Lower secondary,Civil marriage,House / apartment,66.03013698630137,-1000.6657534246576,1,0,1,0,2.0,False
4818,M,N,Y,0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,53.93150684931507,-1000.6657534246576,1,0,0,0,2.0,False
4821,M,Y,N,0,Working,Higher education,Single / not married,House / apartment,26.95616438356164,4.298630136986302,1,0,0,0,1.0,False
4822,M,Y,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,36.73150684931507,1.4657534246575343,1,0,0,0,1.0,False
4823,M,N,N,1,Working,Secondary / secondary special,Married,Municipal apartment,39.81917808219178,18.22465753424657,1,0,0,0,3.0,False
4827,M,Y,Y,0,Pensioner,Higher education,Married,House / apartment,64.5095890410959,-1000.6657534246576,1,0,0,0,2.0,False
4829,F,Y,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,52.18082191780822,15.391780821917807,1,0,0,0,1.0,False
4831,M,Y,N,2,Commercial associate,Secondary / secondary special,Married,House / apartment,39.59452054794521,11.64109589041096,1,0,0,0,4.0,False
4832,F,N,N,1,Working,Secondary / secondary special,Married,Municipal apartment,41.47123287671233,6.131506849315069,1,1,1,0,3.0,False
4833,F,N,N,0,Working,Higher education,Single / not married,Rented apartment,37.704109589041096,5.383561643835616,1,1,0,0,1.0,False
4834,F,N,Y,0,Working,Higher education,Married,House / apartment,37.23013698630137,0.547945205479452,1,0,0,1,2.0,False
4837,M,Y,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.5013698630137,-1000.6657534246576,1,0,0,0,2.0,False
4842,M,N,Y,2,Working,Secondary / secondary special,Married,House / apartment,48.778082191780825,3.1315068493150684,1,0,0,0,4.0,False
4843,M,Y,N,1,Working,Secondary / secondary special,Married,House / apartment,31.5013698630137,12.304109589041095,1,0,0,0,3.0,False
4847,F,N,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.583561643835615,-1000.6657534246576,1,0,0,0,2.0,False
4850,F,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.6,-1000.6657534246576,1,0,0,0,1.0,False
4851,M,Y,N,2,State servant,Higher education,Married,With parents,29.964383561643835,4.216438356164384,1,0,0,0,4.0,False
4862,M,Y,N,1,State servant,Secondary / secondary special,Married,House / apartment,40.43561643835616,2.7150684931506848,1,0,0,0,3.0,False
4864,F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.989041095890414,10.219178082191782,1,1,0,0,2.0,False
4866,M,N,Y,2,Pensioner,Higher education,Married,House / apartment,44.85479452054795,-1000.6657534246576,1,0,0,0,4.0,False
4868,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,41.0027397260274,0.4657534246575342,1,0,0,0,2.0,False
4877,F,N,Y,2,Working,Secondary / secondary special,Married,House / apartment,32.224657534246575,1.9616438356164383,1,0,0,0,4.0,False
4879,M,Y,Y,1,Working,Higher education,Married,House / apartment,42.61917808219178,3.635616438356165,1,0,0,0,3.0,False
4882,F,N,Y,1,State servant,Secondary / secondary special,Married,House / apartment,39.45205479452055,6.882191780821918,1,0,0,0,3.0,False
4889,F,N,Y,1,Working,Incomplete higher,Married,House / apartment,28.78904109589041,0.3808219178082191,1,1,0,0,3.0,False
4890,M,Y,Y,1,Working,Secondary / secondary special,Married,House / apartment,39.32876712328767,15.224657534246576,1,1,0,0,3.0,False
4894,F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,58.9041095890411,-1000.6657534246576,1,0,0,0,2.0,False
4896,F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,40.6958904109589,6.717808219178083,1,0,1,0,2.0,False
4898,M,N,Y,0,Pensioner,Lower secondary,Married,House / apartment,65.12328767123287,-1000.6657534246576,1,0,0,0,2.0,False
4900,F,N,Y,1,State servant,Secondary / secondary special,Civil marriage,House / apartment,34.85205479452055,14.389041095890413,1,0,0,0,3.0,False
4904,F,N,Y,1,Working,Higher education,Married,House / apartment,37.66849315068493,7.882191780821918,1,1,1,0,3.0,False
